name,exercise_type,exercise_category,exercise_level,exercise_programming,bodyweight,goal,video
breathing__3D__band,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/breathing_3d_band.mp4
breathing__3D__hanging__suspension,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/breathing_3d_hanging_suspension.mp4
breathing__3D__hanging__supported,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/breathing_3d_hanging_supported.mp4
diaphragm_stretch__90-90,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/diaphragm_stretch_90-90.mp4
breathing__3D__camel,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/breathing_3d_camel.mp4
diaphragm_stretch__back_lying,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/diaphragm_stretch_back_lying.mp4
diaphragm_stretch__bridged,Cooldown,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/cooldown/diaphragm_stretch_bridged.mp4
